ground_truth,prediction,score
-1,-1,-0.07201033288757364
-1,-1,-0.07742991135695743
-1,-1,-0.08629841114903514
-1,-1,-0.06764760283723292
-1,-1,-0.07861235053353255
-1,-1,-0.17263424057190724
-1,-1,-0.1695397657592338
-1,-1,-0.1398681583694822
-1,-1,-0.16025123797145469
-1,-1,-0.0659528250613226
-1,-1,-0.10155252742508847
-1,-1,-0.20428996263297394
-1,-1,-0.22947300001419824
-1,-1,-0.23034254763604267
-1,-1,-0.21915976053495212
-1,-1,-0.020508535278407625
-1,-1,-0.09577257589097932
-1,-1,-0.096086938213514
-1,-1,-0.05014506440480121
-1,-1,-0.060438480829283714
-1,-1,-0.024841207740004922
-1,-1,-0.1620975475019597
-1,-1,-0.16089775347975055
-1,-1,-0.06641731771928683
-1,-1,-0.1707147508778062
-1,-1,-0.08575149014912298
-1,-1,-0.21215273041748905
-1,-1,-0.21790246339701713
-1,-1,-0.17186889068354294
-1,-1,-0.19219820105248808
-1,-1,-0.22627719687274206
-1,-1,-0.1614574454031612
-1,-1,-0.1714077448197313
-1,-1,-0.1783239255352873
-1,-1,-0.21621950396699752
-1,-1,-0.17669033522576016
-1,-1,-0.0551651057530525
1,1,0.08390656884095815
1,1,0.08292372047653934
-1,-1,-0.06470224674226988
-1,-1,-0.1685256392909129
-1,-1,-0.11121800911426516
-1,-1,-0.22656444999070668
-1,-1,-0.22952293568904814
-1,-1,-0.23078788604144318
-1,-1,-0.08092262554696383
-1,-1,-0.1668512201388247
-1,-1,-0.157072141045985
-1,-1,-0.0667408761372198
-1,-1,-0.0022284881332459983
1,1,0.08442057567090216
1,1,0.08567467784073296
-1,-1,-0.16089775347975055
-1,-1,-0.20939210887130155
-1,-1,-0.16055127341061104
-1,-1,-0.05381255910196581
-1,-1,-0.1108044544536484
-1,-1,-0.11317140614261112
1,1,0.08203859192013663
-1,-1,-0.11119918646552995
-1,-1,-0.11102053318278138
-1,-1,-0.08675883204681267
-1,-1,-0.23170376304567408
-1,-1,-0.2171112213958859
-1,-1,-0.21588820422702737
-1,-1,-0.1713905318719745
-1,-1,-0.10295244104973755
-1,-1,-0.04822891981589744
-1,-1,-0.09994971971740885
-1,-1,-0.20353873199691297
-1,-1,-0.18283092935282186
-1,-1,-0.033722846682864904
-1,1,0.03435389985564996
-1,-1,-0.0610893068447938
-1,-1,-0.06887688816781934
-1,-1,-0.10897078782011249
-1,-1,-0.2199930385826867
-1,-1,-0.07991194017104719
-1,-1,-0.02824881456093259
-1,-1,-0.03858443069807399
-1,-1,-0.22287149734462386
-1,-1,-0.23811005501954352
-1,-1,-0.19310222181377668
-1,-1,-0.1936562164376644
-1,-1,-0.16742319694058938
-1,-1,-0.221545170192312
-1,-1,-0.21329101086374702
-1,-1,-0.22529783076186638
-1,-1,-0.22854997097002372
-1,-1,-0.21868697348110389
-1,-1,-0.2249565695550626
-1,-1,-0.19590435476978252
-1,-1,-0.09566300916384607
-1,-1,-0.17671352197597534
-1,-1,-0.21025279492636573
-1,-1,-0.1738589851168355
-1,-1,-0.16330795525086939
-1,-1,-0.17457523317037982
-1,-1,-0.06874389303601858
-1,-1,-0.03910322580055081
-1,-1,-0.07708002893673771
-1,-1,-0.1711138669030785
-1,-1,-0.06497533748577505
-1,-1,-0.07435646442821153
-1,-1,-0.09333223406133451
-1,-1,-0.21926194195900295
-1,-1,-0.22153391178226256
-1,-1,-0.05966276371656104
1,1,0.08387968973511162
1,1,0.08562463171983892
1,1,0.08411582928753025
-1,-1,-0.06677424987069236
-1,-1,-0.10896337876910711
-1,-1,-0.07848931195844422
-1,-1,-0.06332514734171263
-1,-1,-0.11423782091525037
-1,-1,-0.24662233024134061
-1,-1,-0.24452028826739425
-1,-1,-0.19456618425072947
-1,-1,-0.2411108628048183
-1,-1,-0.27297205128255053
-1,-1,-0.2069328826430531
-1,-1,-0.054453256798859706
-1,-1,-0.09128061339394655
-1,-1,-0.17476704909249374
-1,-1,-0.21766991091544563
-1,-1,-0.21974416472284397
-1,-1,-0.058472520774376535
-1,-1,-0.012026375432197312
-1,-1,-0.1638001027185133
-1,-1,-0.1612815979939609
-1,-1,-0.10462627630240351
-1,-1,-0.1518497408302436
-1,-1,-0.08068260546110284
-1,-1,-0.09485995152633353
-1,-1,-0.13854978754008496
-1,-1,-0.0828502363119692
-1,-1,-0.06950258728092595
-1,-1,-0.06414769124406527
-1,-1,-0.17848153117382326
-1,-1,-0.11795062935614364
1,1,0.07639632734578705
-1,-1,-0.1718760333462408
-1,-1,-0.1888830382820772
-1,-1,-0.05972898620485978
1,1,0.07781822696990959
-1,-1,-0.20469126194915577
-1,-1,-0.2052681536020683
1,1,0.08842127393099763
1,1,0.08916299862481147
1,1,0.08782855301574094
1,1,0.07680331072019303
-1,-1,-0.040377095394809936
